anomaly_type,affected_channel,start_index,duration_steps,start_timestamp,end_timestamp,magnitude,severity,clipped,anomaly_id,station_id,source_split,injection_index,local_slice_start_index,missing_channel
temperature_spike,temperature_c,164,1,2025-01-07T10:40:00+00:00,2025-01-07T10:40:00+00:00,8.179562881070076,0.5453041920713384,False,ATHER-ATW-0159-temperature_spike-000,ATHER-ATW-0159,test,0,164,
temperature_spike,temperature_c,164,1,2025-01-10T01:20:00+00:00,2025-01-10T01:20:00+00:00,8.965060014987316,0.597670667665821,False,ATHER-ATW-0159-temperature_spike-001,ATHER-ATW-0159,test,1,164,
temperature_spike,temperature_c,164,1,2025-01-11T19:10:00+00:00,2025-01-11T19:10:00+00:00,13.040668174308152,0.8693778782872101,False,ATHER-ATW-0159-temperature_spike-002,ATHER-ATW-0159,test,2,164,
temperature_spike,temperature_c,164,1,2025-01-12T01:20:00+00:00,2025-01-12T01:20:00+00:00,14.9866574932325,0.9991104995488332,False,ATHER-ATW-0159-temperature_spike-003,ATHER-ATW-0159,test,3,164,
temperature_spike,temperature_c,164,1,2025-01-12T14:30:00+00:00,2025-01-12T14:30:00+00:00,13.797023191352018,0.9198015460901345,False,ATHER-ATW-0159-temperature_spike-004,ATHER-ATW-0159,test,4,164,
temperature_spike,temperature_c,164,1,2025-01-12T06:10:00+00:00,2025-01-12T06:10:00+00:00,11.021430521140646,0.7347620347427097,False,ATHER-ATW-0159-temperature_spike-005,ATHER-ATW-0159,test,5,164,
temperature_spike,temperature_c,164,1,2025-01-12T12:40:00+00:00,2025-01-12T12:40:00+00:00,10.537939074875611,0.7025292716583741,False,ATHER-ATW-0159-temperature_spike-006,ATHER-ATW-0159,test,6,164,
temperature_spike,temperature_c,164,1,2025-01-07T13:30:00+00:00,2025-01-07T13:30:00+00:00,8.12522682300628,0.5416817882004187,False,ATHER-ATW-0159-temperature_spike-007,ATHER-ATW-0159,test,7,164,
temperature_spike,temperature_c,164,1,2025-01-10T00:50:00+00:00,2025-01-10T00:50:00+00:00,13.719486905176339,0.9146324603450893,False,ATHER-ATW-0159-temperature_spike-008,ATHER-ATW-0159,test,8,164,
temperature_spike,temperature_c,164,1,2025-01-09T21:00:00+00:00,2025-01-09T21:00:00+00:00,12.138164549237302,0.8092109699491535,False,ATHER-ATW-0159-temperature_spike-009,ATHER-ATW-0159,test,9,164,
temperature_drop,temperature_c,164,1,2025-01-11T20:30:00+00:00,2025-01-11T20:30:00+00:00,-14.989880658799988,0.9993253772533326,False,ATHER-ATW-0159-temperature_drop-000,ATHER-ATW-0159,test,0,164,
temperature_drop,temperature_c,148,1,2025-01-07T00:40:00+00:00,2025-01-07T00:40:00+00:00,-12.347680632453843,0.8231787088302561,False,ATHER-ATW-0159-temperature_drop-001,ATHER-ATW-0159,test,1,148,
temperature_drop,temperature_c,164,1,2025-01-09T16:10:00+00:00,2025-01-09T16:10:00+00:00,-10.868850281446154,0.7245900187630769,False,ATHER-ATW-0159-temperature_drop-002,ATHER-ATW-0159,test,2,164,
temperature_drop,temperature_c,144,1,2025-01-07T00:00:00+00:00,2025-01-07T00:00:00+00:00,-8.08501431307787,0.5390009542051913,False,ATHER-ATW-0159-temperature_drop-003,ATHER-ATW-0159,test,3,144,
temperature_drop,temperature_c,164,1,2025-01-07T06:20:00+00:00,2025-01-07T06:20:00+00:00,-12.264264022769723,0.8176176015179816,False,ATHER-ATW-0159-temperature_drop-004,ATHER-ATW-0159,test,4,164,
temperature_drop,temperature_c,164,1,2025-01-09T09:40:00+00:00,2025-01-09T09:40:00+00:00,-9.627502648807667,0.6418335099205111,False,ATHER-ATW-0159-temperature_drop-005,ATHER-ATW-0159,test,5,164,
temperature_drop,temperature_c,164,1,2025-01-11T21:50:00+00:00,2025-01-11T21:50:00+00:00,-14.38445484620466,0.958963656413644,False,ATHER-ATW-0159-temperature_drop-006,ATHER-ATW-0159,test,6,164,
